N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
26,N/A,13089021415,DeKalb County,Georgia,2019,56,51,61,48,39,57,22,2.3,-6.4,56,12,5.6,27,2,0.7,45,77.1,76.3,90,77.1,93,66,60.7,69.1,66,62,69,31,15.7,0,80,N/A,N/A,74,7.1,15.3,54,3.5,3.8,99,40,99,55,22.5,23.4,54,52,56,61,9.7,7.7,44,N/A,N/A,68,80.5,86.7,20,43,48.3,41,25.6,22.5,94,87,96.4
27,N/A,13089021415,DeKalb County,Georgia,2020,55,54,56,50,43,58,19,2.4,-8.4,67,23.2,30.1,27,2,0.7,48,77.7,77.4,90,78.3,93.4,68,60.2,69.5,50,52,47,36,12.5,0.8,73,N/A,N/A,46,7.9,-3.2,2,2.8,0.7,98,41,99,41,22.8,20.8,64,66,63,60,13,10.6,72,N/A,N/A,70,81.1,88.2,37,43,44.8,51,25.4,25.8,95,87.7,96.8
28,N/A,13089021415,DeKalb County,Georgia,2021,56,57,55,51,45,57,45,-3.7,-4.3,N/A,7.9,N/A,27,2,0.7,39,78.6,76.2,90,84.6,96.2,71,59.7,70.7,64,80,49,92,5.3,64.9,82,N/A,N/A,65,13.3,15.9,0,4.1,0.5,99,43,100,48,23,22.6,52,46,59,55,14.8,10.3,36,N/A,N/A,N/A,84.1,N/A,47,42,42.6,42,28.9,25.3,89,88.5,95.2
29,N/A,13089021415,DeKalb County,Georgia,2022,52,47,57,56,58,53,58,-5.2,1.5,N/A,12.4,N/A,27,2,0.7,32,78.2,74.2,84,86.7,95.3,68,59.5,69.1,42,30,55,26,-13.7,-52.5,17,N/A,N/A,48,28.6,11.4,16,4,1.9,99,45,99,51,23.5,23.7,58,52,64,63,15.8,14.4,40,N/A,N/A,N/A,84.6,N/A,35,42.1,44.8,N/A,29.5,N/A,93,88.3,96.6
30,N/A,13089021415,DeKalb County,Georgia,2023,58,60,55,60,70,51,70,-6.1,10.5,N/A,30,N/A,27,2,0.7,19,77.5,69,83,88.4,95.8,75,60.2,72.8,58,62,53,67,30.1,37.1,42,N/A,N/A,78,-15.8,1.7,14,3.1,1.4,99,45,99,47,23.1,22.4,55,48,62,59,17.7,13.4,36,N/A,N/A,N/A,84.7,N/A,33,41.9,45,N/A,30.5,N/A,91,88.8,95.9
31,N/A,13089021415,DeKalb County,Georgia,2024,58,61,55,60,70,51,70,-6.1,10.5,N/A,30,N/A,27,2,0.7,19,77.5,69,83,88.4,95.8,75,60.2,72.8,52,50,53,35,-6.1,-13.9,37,N/A,N/A,78,-15.8,1.7,21,2.8,1.6,99,45,99,40,1.8,1.3,63,64,62,59,17.7,13.4,68,N/A,N/A,N/A,84.7,N/A,33,41.9,45,N/A,30.5,N/A,91,88.8,95.9
32,Yes,53033009100,King County,Washington,2017,49,58,40,52,57,46,57,3.1,9,N/A,-0.4,N/A,35,4.8,3.2,89,71.9,79.7,2,85.9,58.2,57,64,67.1,68,68,67,58,4.7,1.7,56,N/A,N/A,89,-3,25.3,86,3.9,7.4,49,54,53,67,21.8,24.7,29,50,8,65,3.8,13,35,N/A,N/A,7,86.9,66.1,4,40.2,50.9,16,22,10.7,3,90.9,81.5
33,Yes,53033009100,King County,Washington,2018,46,52,39,42,40,43,40,3.3,3.9,N/A,9,N/A,35,4.8,3.2,80,72.7,78.2,2,85.9,58.2,55,62.9,65.5,58,49,67,58,4.7,1.7,46,N/A,N/A,42,-3.9,-16.8,86,3.9,7.4,49,55,54,67,21.8,24.7,37,68,6,75,6.3,30.1,61,N/A,N/A,10,87.3,70.6,3,40.5,51.9,9,22.7,7.5,4,92.4,84.5
34,Yes,53033009100,King County,Washington,2019,44,50,38,31,20,42,20,3.3,-0.7,N/A,25.8,N/A,35,4.8,3.2,79,73.1,78.2,2,86.9,62.2,50,61.5,61.4,66,68,65,71,14.1,18,83,N/A,N/A,51,11.1,4,86,3.9,7.4,42,55,49,67,21.8,24.7,34,61,8,75,10.6,46.5,47,N/A,N/A,13,87.9,74.8,2,40.6,53.7,10,23.1,7.9,8,93.8,88.6
35,Yes,53033009100,King County,Washington,2020,43,48,38,40,37,42,8,3.6,-6.2,66,41.3,119.5,35,4.8,3.2,81,73.5,79,2,87.6,64.7,51,60.7,61.3,56,49,63,34,5.5,-10.6,32,N/A,N/A,81,7.5,26.2,88,3.4,6.7,37,56,46,64,22.6,25.2,33,58,8,76,14.3,56.3,40,N/A,N/A,18,88.4,79.3,2,40.6,54.2,1,23.5,0,10,94.8,90.9
36,Yes,53033009100,King County,Washington,2021,46,54,38,36,30,42,30,1.9,-0.5,N/A,45.1,N/A,35,4.8,3.2,90,73.6,82.4,4,91.4,76.7,39,60.2,55.1,70,80,61,77,5.4,12.4,78,N/A,N/A,86,1.8,30.8,88,5,9.7,32,54,40,62,22.3,24.5,32,53,12,74,16,42.2,32,N/A,N/A,7,89.8,72.8,1,40.2,56.5,N/A,25.4,N/A,28,95.8,94.2
37,Yes,53033009100,King County,Washington,2022,47,55,39,46,52,39,52,1.6,6.1,N/A,52.7,N/A,35,4.8,3.2,71,73.7,77.3,6,92.6,80.2,43,61.1,57.6,64,62,66,56,-13.2,-16.6,86,N/A,N/A,45,21.1,7.1,86,4.9,9.4,52,54,56,61,23.3,25.2,32,51,12,49,17.4,19.9,53,N/A,N/A,9,90,75.7,5,40.1,51,N/A,25.5,N/A,22,95.7,93.2
38,Yes,53033009100,King County,Washington,2023,42,49,35,48,60,35,60,1.3,10.2,N/A,74.2,N/A,35,4.8,3.2,55,73,73.9,3,93.1,79.5,46,61.8,60.2,58,51,66,43,33.3,11.6,64,N/A,N/A,47,-7.9,-21.8,94,3.6,8.4,52,54,56,53,22.8,23.3,20,35,5,14,19.7,4.4,56,N/A,N/A,2,89.8,62.4,4,40.4,52.2,N/A,26.1,N/A,8,95.8,90.5
